Dataset, K, Total time, Diversity, Alpha,,
scp42.txt,20,637,0.034635539,4,,0.034635539
scp42.txt,5,585,0.032202101,5,,0.032202101
scp42.txt,6,583,0.032012197,5,,0.032012197
scp42.txt,7,591,0.031906474,5,,0.031906474
scp42.txt,8,582,0.031956022,5,,0.031956022
scp42.txt,9,584,0.031886277,5,,0.031886277
scp42.txt,10,587,0.031907908,5,,0.031907908
scp42.txt,11,588,0.032713368,5,,0.032713368
scp42.txt,12,595,0.033290358,5,,0.033290358
scp42.txt,13,594,0.033518408,5,,0.033518408
scp42.txt,14,596,0.033694353,5,,0.033694353
scp42.txt,15,606,0.033554893,5,,0.033554893
scp42.txt,16,606,0.033457102,5,,0.033457102
scp42.txt,17,611,0.033623385,5,,0.033623385
scp42.txt,18,614,0.033757855,5,,0.033757855
scp42.txt,19,624,0.033644994,5,,0.033644994
scp42.txt,20,629,0.033557785,5,,0.033557785
scp42.txt,5,580,0.031683434,6,,0.031683434
scp42.txt,6,577,0.031463171,6,,0.031463171
scp42.txt,7,581,0.031372551,6,,0.031372551
scp42.txt,8,583,0.031415021,6,,0.031415021
scp42.txt,9,588,0.031355239,6,,0.031355239
scp42.txt,10,592,0.031373781,6,,0.031373781
scp42.txt,11,592,0.032064174,6,,0.032064174
scp42.txt,12,597,0.032558738,6,,0.032558738
scp42.txt,13,596,0.032754209,6,,0.032754209
scp42.txt,14,598,0.032905019,6,,0.032905019
scp42.txt,15,599,0.032785482,6,,0.032785482
scp42.txt,16,606,0.032701661,6,,0.032701661
scp42.txt,17,620,0.032844189,6,,0.032844189
scp42.txt,18,622,0.032959449,6,,0.032959449
scp42.txt,19,626,0.032862711,6,,0.032862711
scp42.txt,20,622,0.032787961,6,,0.032787961
scp42.txt,5,579,0.031294433,7,,0.031294433
scp42.txt,6,587,0.031051401,7,,0.031051401
scp42.txt,7,584,0.030972109,7,,0.030972109
scp42.txt,8,588,0.03100927,7,,0.03100927
scp42.txt,9,586,0.030956961,7,,0.030956961
scp42.txt,10,597,0.030973185,7,,0.030973185
scp42.txt,11,593,0.031577279,7,,0.031577279
scp42.txt,12,589,0.032010022,7,,0.032010022
scp42.txt,13,600,0.032181059,7,,0.032181059
scp42.txt,14,603,0.032313018,7,,0.032313018
scp42.txt,15,604,0.032208423,7,,0.032208423
scp42.txt,16,608,0.03213508,7,,0.03213508
scp42.txt,17,612,0.032259792,7,,0.032259792
scp42.txt,18,612,0.032360645,7,,0.032360645
scp42.txt,19,618,0.032275999,7,,0.032275999
scp42.txt,20,626,0.032210592,7,,0.032210592
scp42.txt,5,579,0.030991877,8,,0.030991877
scp42.txt,6,583,0.030731136,8,,0.030731136
scp42.txt,7,579,0.030660654,8,,0.030660654
scp42.txt,8,582,0.030693686,8,,0.030693686
scp42.txt,9,588,0.030647189,8,,0.030647189
scp42.txt,10,581,0.03066161,8,,0.03066161
scp42.txt,11,587,0.031198583,8,,0.031198583
scp42.txt,12,591,0.031583244,8,,0.031583244
scp42.txt,13,600,0.031735277,8,,0.031735277
scp42.txt,14,597,0.031852573,8,,0.031852573
scp42.txt,15,600,0.0317596,8,,0.0317596
scp42.txt,16,612,0.031694406,8,,0.031694406
scp42.txt,17,616,0.031805261,8,,0.031805261
scp42.txt,18,615,0.031894908,8,,0.031894908
scp42.txt,19,620,0.031819667,8,,0.031819667
scp42.txt,20,632,0.031761528,8,,0.031761528
scp42.txt,5,579,0.030749832,9,,0.030749832
scp42.txt,6,578,0.030474924,9,,0.030474924
scp42.txt,7,581,0.03041149,9,,0.03041149
scp42.txt,8,585,0.030441219,9,,0.030441219
scp42.txt,9,589,0.030399372,9,,0.030399372
scp42.txt,10,588,0.030412351,9,,0.030412351
scp42.txt,11,587,0.030895626,9,,0.030895626
scp42.txt,12,604,0.031241821,9,,0.031241821
scp42.txt,13,591,0.03137865,9,,0.03137865
scp42.txt,14,598,0.031484217,9,,0.031484217
scp42.txt,15,603,0.031400542,9,,0.031400542
scp42.txt,16,606,0.031341867,9,,0.031341867
scp42.txt,17,605,0.031441636,9,,0.031441636
scp42.txt,18,615,0.031522319,9,,0.031522319
scp42.txt,19,626,0.031454602,9,,0.031454602
scp42.txt,20,633,0.031402277,9,,0.031402277
scp42.txt,5,587,0.030551796,10,,0.030551796
scp42.txt,6,583,0.030265295,10,,0.030265295
scp42.txt,7,583,0.030207629,10,,0.030207629
scp42.txt,8,584,0.030234655,10,,0.030234655
scp42.txt,9,614,0.030196612,10,,0.030196612
scp42.txt,10,596,0.030208411,10,,0.030208411
scp42.txt,11,591,0.030647752,10,,0.030647752
scp42.txt,12,597,0.030962475,10,,0.030962475
scp42.txt,13,597,0.031086865,10,,0.031086865
scp42.txt,14,599,0.031182835,10,,0.031182835
scp42.txt,15,606,0.031106766,10,,0.031106766
scp42.txt,16,613,0.031053425,10,,0.031053425
scp42.txt,17,616,0.031144125,10,,0.031144125
scp42.txt,18,621,0.031217473,10,,0.031217473
scp42.txt,19,621,0.031155912,10,,0.031155912
scp42.txt,20,622,0.031108344,10,,0.031108344
scp43.txt,5,558,0.095249445,0.1,,0.095249445
scp43.txt,6,557,0.09107691,0.1,,0.09107691
scp43.txt,7,558,0.088071233,0.1,,0.088071233
scp43.txt,8,568,0.086292441,0.1,,0.086292441
scp43.txt,9,567,0.085888776,0.1,,0.085888776
scp43.txt,10,561,0.085558915,0.1,,0.085558915
scp43.txt,11,563,0.084339893,0.1,,0.084339893
scp43.txt,12,573,0.083416835,0.1,,0.083416835
scp43.txt,13,572,0.082349866,0.1,,0.082349866
scp43.txt,14,575,0.081801608,0.1,,0.081801608
scp43.txt,15,581,0.082644689,0.1,,0.082644689
scp43.txt,16,590,0.083421063,0.1,,0.083421063
scp43.txt,17,581,0.082599314,0.1,,0.082599314
scp43.txt,18,589,0.082069906,0.1,,0.082069906
scp43.txt,19,594,0.081401877,0.1,,0.081401877
scp43.txt,20,602,0.08095731,0.1,,0.08095731
scp43.txt,5,558,0.09088342,0.2,,0.09088342
scp43.txt,6,562,0.085770273,0.2,,0.085770273
scp43.txt,7,563,0.083015068,0.2,,0.083015068
scp43.txt,8,560,0.08138451,0.2,,0.08138451
scp43.txt,9,571,0.081014483,0.2,,0.081014483
scp43.txt,10,571,0.08071211,0.2,,0.08071211
scp43.txt,11,572,0.079594674,0.2,,0.079594674
scp43.txt,12,594,0.078748538,0.2,,0.078748538
scp43.txt,13,576,0.077770482,0.2,,0.077770482
scp43.txt,14,583,0.077267912,0.2,,0.077267912
scp43.txt,15,580,0.078040737,0.2,,0.078040737
scp43.txt,16,584,0.078752413,0.2,,0.078752413
scp43.txt,17,584,0.077999143,0.2,,0.077999143
scp43.txt,18,600,0.077513852,0.2,,0.077513852
scp43.txt,19,608,0.076901493,0.2,,0.076901493
scp43.txt,20,604,0.076493972,0.2,,0.076493972
scp43.txt,5,560,0.087189091,0.3,,0.087189091
scp43.txt,6,577,0.081280041,0.3,,0.081280041
scp43.txt,7,564,0.078736775,0.3,,0.078736775
scp43.txt,8,559,0.077231644,0.3,,0.077231644
scp43.txt,9,574,0.076890081,0.3,,0.076890081
scp43.txt,10,564,0.076610968,0.3,,0.076610968
scp43.txt,11,567,0.075579488,0.3,,0.075579488
scp43.txt,12,571,0.074798439,0.3,,0.074798439
scp43.txt,13,571,0.073895619,0.3,,0.073895619
scp43.txt,14,576,0.073431708,0.3,,0.073431708
scp43.txt,15,579,0.074145085,0.3,,0.074145085
scp43.txt,16,583,0.074802016,0.3,,0.074802016
scp43.txt,17,586,0.07410669,0.3,,0.07410669
scp43.txt,18,585,0.07365873,0.3,,0.07365873
scp43.txt,19,595,0.073093475,0.3,,0.073093475
scp43.txt,20,604,0.072717302,0.3,,0.072717302
scp43.txt,5,568,0.084022523,0.4,,0.084022523
scp43.txt,6,557,0.077431271,0.4,,0.077431271
scp43.txt,7,567,0.075069667,0.4,,0.075069667
scp43.txt,8,562,0.073672045,0.4,,0.073672045
scp43.txt,9,561,0.07335488,0.4,,0.07335488
scp43.txt,10,561,0.073095703,0.4,,0.073095703
scp43.txt,11,568,0.072137901,0.4,,0.072137901
scp43.txt,12,580,0.071412641,0.4,,0.071412641
scp43.txt,13,577,0.070574308,0.4,,0.070574308
scp43.txt,14,580,0.070143533,0.4,,0.070143533
scp43.txt,15,577,0.070805954,0.4,,0.070805954
scp43.txt,16,580,0.071415962,0.4,,0.071415962
scp43.txt,17,587,0.070770302,0.4,,0.070770302
scp43.txt,18,592,0.070354339,0.4,,0.070354339
scp43.txt,19,594,0.069829459,0.4,,0.069829459
scp43.txt,20,604,0.069480156,0.4,,0.069480156
scp43.txt,5,560,0.081278165,0.5,,0.081278165
scp43.txt,6,561,0.07409567,0.5,,0.07409567
scp43.txt,7,561,0.071891507,0.5,,0.071891507
scp43.txt,8,558,0.07058706,0.5,,0.07058706
scp43.txt,9,564,0.070291039,0.5,,0.070291039
scp43.txt,10,574,0.07004914,0.5,,0.07004914
scp43.txt,11,569,0.069155191,0.5,,0.069155191
scp43.txt,12,570,0.068478282,0.5,,0.068478282
scp43.txt,13,581,0.067695838,0.5,,0.067695838
scp43.txt,14,581,0.067293782,0.5,,0.067293782
scp43.txt,15,576,0.067912041,0.5,,0.067912041
scp43.txt,16,585,0.068481382,0.5,,0.068481382
scp43.txt,17,588,0.067878766,0.5,,0.067878766
scp43.txt,18,594,0.067490534,0.5,,0.067490534
scp43.txt,19,599,0.067000646,0.5,,0.067000646
scp43.txt,20,599,0.06667463,0.5,,0.06667463
scp43.txt,5,572,0.078876851,0.6,,0.078876851
scp43.txt,6,561,0.07117702,0.6,,0.07117702
scp43.txt,7,562,0.069110616,0.6,,0.069110616
scp43.txt,8,563,0.067887697,0.6,,0.067887697
scp43.txt,9,567,0.067610177,0.6,,0.067610177
scp43.txt,10,568,0.067383398,0.6,,0.067383398
scp43.txt,11,565,0.066545321,0.6,,0.066545321
scp43.txt,12,569,0.065910718,0.6,,0.065910718
scp43.txt,13,572,0.065177177,0.6,,0.065177177
scp43.txt,14,576,0.064800249,0.6,,0.064800249
scp43.txt,15,582,0.065379868,0.6,,0.065379868
scp43.txt,16,582,0.065913625,0.6,,0.065913625
scp43.txt,17,590,0.065348672,0.6,,0.065348672
scp43.txt,18,592,0.064984704,0.6,,0.064984704
scp43.txt,19,595,0.064525435,0.6,,0.064525435
scp43.txt,20,601,0.064219794,0.6,,0.064219794
scp43.txt,5,559,0.076758044,0.7,,0.076758044
scp43.txt,6,562,0.06860174,0.7,,0.06860174
scp43.txt,7,562,0.066656889,0.7,,0.066656889
scp43.txt,8,565,0.065505907,0.7,,0.065505907
scp43.txt,9,569,0.065244712,0.7,,0.065244712
scp43.txt,10,574,0.065031272,0.7,,0.065031272
scp43.txt,11,576,0.064242493,0.7,,0.064242493
scp43.txt,12,573,0.063645221,0.7,,0.063645221
scp43.txt,13,573,0.062954829,0.7,,0.062954829
scp43.txt,14,575,0.062600073,0.7,,0.062600073
scp43.txt,15,581,0.063145597,0.7,,0.063145597
scp43.txt,16,582,0.063647956,0.7,,0.063647956
scp43.txt,17,584,0.063116236,0.7,,0.063116236
scp43.txt,18,602,0.062773678,0.7,,0.062773678
scp43.txt,19,598,0.062341424,0.7,,0.062341424
scp43.txt,20,606,0.062053763,0.7,,0.062053763
scp43.txt,5,568,0.074874661,0.8,,0.074874661
scp43.txt,6,562,0.066312602,0.8,,0.066312602
scp43.txt,7,559,0.064475799,0.8,,0.064475799
scp43.txt,8,567,0.06338876,0.8,,0.06338876
scp43.txt,9,576,0.063142076,0.8,,0.063142076
scp43.txt,10,569,0.062940494,0.8,,0.062940494
scp43.txt,11,568,0.062195536,0.8,,0.062195536
scp43.txt,12,566,0.061631445,0.8,,0.061631445
scp43.txt,13,570,0.060979408,0.8,,0.060979408
scp43.txt,14,576,0.060644362,0.8,,0.060644362
scp43.txt,15,579,0.061159578,0.8,,0.061159578
scp43.txt,16,584,0.061634029,0.8,,0.061634029
scp43.txt,17,588,0.061131849,0.8,,0.061131849
scp43.txt,18,593,0.060808322,0.8,,0.060808322
scp43.txt,19,603,0.060400082,0.8,,0.060400082
scp43.txt,20,607,0.060128402,0.8,,0.060128402
scp43.txt,5,563,0.073189528,0.9,,0.073189528
scp43.txt,6,560,0.064264426,0.9,,0.064264426
scp43.txt,7,562,0.062524297,0.9,,0.062524297
scp43.txt,8,563,0.06149447,0.9,,0.06149447
scp43.txt,9,569,0.061260769,0.9,,0.061260769
scp43.txt,10,568,0.061069797,0.9,,0.061069797
scp43.txt,11,567,0.060364048,0.9,,0.060364048
scp43.txt,12,572,0.059829646,0.9,,0.059829646
scp43.txt,13,577,0.059211927,0.9,,0.059211927
scp43.txt,14,575,0.058894514,0.9,,0.058894514
scp43.txt,15,580,0.059382614,0.9,,0.059382614
scp43.txt,16,581,0.059832093,0.9,,0.059832093
scp43.txt,17,586,0.059356344,0.9,,0.059356344
scp43.txt,18,593,0.059049845,0.9,,0.059049845
scp43.txt,19,602,0.058663091,0.9,,0.058663091
scp43.txt,20,602,0.05840571,0.9,,0.05840571
scp43.txt,5,560,0.071672909,1,,0.071672909
scp43.txt,6,558,0.062421068,1,,0.062421068
scp43.txt,7,570,0.060767945,1,,0.060767945
scp43.txt,8,561,0.05978961,1,,0.05978961
scp43.txt,9,563,0.059567594,1,,0.059567594
scp43.txt,10,574,0.05938617,1,,0.05938617
scp43.txt,11,570,0.058715708,1,,0.058715708
scp43.txt,12,571,0.058208027,1,,0.058208027
scp43.txt,13,574,0.057621193,1,,0.057621193
scp43.txt,14,578,0.057319651,1,,0.057319651
scp43.txt,15,579,0.057783346,1,,0.057783346
scp43.txt,16,580,0.058210352,1,,0.058210352
scp43.txt,17,586,0.05775839,1,,0.05775839
scp43.txt,18,592,0.057467216,1,,0.057467216
scp43.txt,19,598,0.0570998,1,,0.0570998
scp43.txt,20,606,0.056855287,1,,0.056855287
scp43.txt,5,560,0.062067654,2,,0.062067654
scp43.txt,6,558,0.050746465,2,,0.050746465
scp43.txt,7,562,0.049644383,2,,0.049644383
scp43.txt,8,561,0.04899216,2,,0.04899216
scp43.txt,9,566,0.048844149,2,,0.048844149
scp43.txt,10,566,0.0487232,2,,0.0487232
scp43.txt,11,570,0.048276226,2,,0.048276226
scp43.txt,12,571,0.047937771,2,,0.047937771
scp43.txt,13,570,0.047546549,2,,0.047546549
scp43.txt,14,575,0.047345521,2,,0.047345521
scp43.txt,15,584,0.047654651,2,,0.047654651
scp43.txt,16,582,0.047939321,2,,0.047939321
scp43.txt,17,589,0.047638013,2,,0.047638013
scp43.txt,18,592,0.047443897,2,,0.047443897
scp43.txt,19,597,0.047198953,2,,0.047198953
scp43.txt,20,604,0.047035945,2,,0.047035945
scp43.txt,5,559,0.057265026,3,,0.057265026
scp43.txt,6,560,0.044909164,3,,0.044909164
scp43.txt,7,563,0.044082603,3,,0.044082603
scp43.txt,8,558,0.043593435,3,,0.043593435
scp43.txt,9,560,0.043482427,3,,0.043482427
scp43.txt,10,570,0.043391715,3,,0.043391715
scp43.txt,11,566,0.043056484,3,,0.043056484
scp43.txt,12,569,0.042802643,3,,0.042802643
scp43.txt,13,575,0.042509227,3,,0.042509227
scp43.txt,14,591,0.042358456,3,,0.042358456
scp43.txt,15,576,0.042590303,3,,0.042590303
scp43.txt,16,593,0.042803806,3,,0.042803806
scp43.txt,17,589,0.042577825,3,,0.042577825
scp43.txt,18,591,0.042432238,3,,0.042432238
scp43.txt,19,594,0.04224853,3,,0.04224853
scp43.txt,20,601,0.042126274,3,,0.042126274
scp43.txt,5,555,0.054383449,4,,0.054383449
scp43.txt,6,564,0.041406783,4,,0.041406783
scp43.txt,7,559,0.040745534,4,,0.040745534
scp43.txt,8,571,0.0403542,4,,0.0403542
scp43.txt,9,580,0.040265394,4,,0.040265394
scp43.txt,10,567,0.040192824,4,,0.040192824
scp43.txt,11,568,0.03992464,4,,0.03992464
scp43.txt,12,578,0.039721567,4,,0.039721567
scp43.txt,13,573,0.039486834,4,,0.039486834
scp43.txt,14,579,0.039366217,4,,0.039366217
scp43.txt,15,581,0.039551695,4,,0.039551695
scp43.txt,16,584,0.039722497,4,,0.039722497
scp43.txt,17,591,0.039541712,4,,0.039541712
scp43.txt,18,594,0.039425242,4,,0.039425242
scp43.txt,19,597,0.039278276,4,,0.039278276
scp43.txt,20,606,0.039180471,4,,0.039180471
scp43.txt,5,559,0.052462398,5,,0.052462398
scp43.txt,6,560,0.039071863,5,,0.039071863
scp43.txt,7,560,0.038520822,5,,0.038520822
scp43.txt,8,561,0.03819471,5,,0.03819471
scp43.txt,9,563,0.038120705,5,,0.038120705
scp43.txt,10,576,0.03806023,5,,0.03806023
scp43.txt,11,573,0.037836743,5,,0.037836743
scp43.txt,12,574,0.037667516,5,,0.037667516
scp43.txt,13,573,0.037471905,5,,0.037471905
scp43.txt,14,574,0.037371391,5,,0.037371391
scp43.txt,15,580,0.037525956,5,,0.037525956
scp43.txt,16,586,0.037668291,5,,0.037668291
scp43.txt,17,594,0.037517637,5,,0.037517637
scp43.txt,18,596,0.037420579,5,,0.037420579
scp43.txt,19,600,0.037298107,5,,0.037298107
scp43.txt,20,599,0.037216603,5,,0.037216603
scp43.txt,5,560,0.051090219,6,,0.051090219
scp43.txt,6,564,0.037404062,6,,0.037404062
scp43.txt,7,561,0.036931742,6,,0.036931742
scp43.txt,8,560,0.036652217,6,,0.036652217
scp43.txt,9,564,0.036588784,6,,0.036588784
scp43.txt,10,570,0.036536949,6,,0.036536949
scp43.txt,11,573,0.036345388,6,,0.036345388
scp43.txt,12,577,0.036200336,6,,0.036200336
scp43.txt,13,573,0.03603267,6,,0.03603267
scp43.txt,14,579,0.035946515,6,,0.035946515
scp43.txt,15,576,0.036078999,6,,0.036078999
scp43.txt,16,589,0.036201001,6,,0.036201001
scp43.txt,17,589,0.036071869,6,,0.036071869
scp43.txt,18,594,0.035988676,6,,0.035988676
scp43.txt,19,603,0.0358837,6,,0.0358837
scp43.txt,20,599,0.035813839,6,,0.035813839
scp43.txt,5,556,0.050061084,7,,0.050061084
scp43.txt,6,557,0.036153212,7,,0.036153212
scp43.txt,7,564,0.035739931,7,,0.035739931
scp43.txt,8,564,0.035495348,7,,0.035495348
scp43.txt,9,565,0.035439844,7,,0.035439844
scp43.txt,10,568,0.035394488,7,,0.035394488
scp43.txt,11,568,0.035226872,7,,0.035226872
scp43.txt,12,576,0.035099952,7,,0.035099952
scp43.txt,13,580,0.034953244,7,,0.034953244
scp43.txt,14,581,0.034877858,7,,0.034877858
scp43.txt,15,584,0.034993782,7,,0.034993782
scp43.txt,16,583,0.035100533,7,,0.035100533
scp43.txt,17,588,0.034987543,7,,0.034987543
scp43.txt,18,590,0.034914749,7,,0.034914749
scp43.txt,19,598,0.034822895,7,,0.034822895
scp43.txt,20,608,0.034761767,7,,0.034761767
scp43.txt,5,558,0.049260646,8,,0.049260646
scp43.txt,6,558,0.035180329,8,,0.035180329
scp43.txt,7,560,0.034812968,8,,0.034812968
scp43.txt,8,564,0.03459556,8,,0.03459556
scp43.txt,9,566,0.034546223,8,,0.034546223
scp43.txt,10,563,0.034505907,8,,0.034505907
scp43.txt,11,568,0.034356915,8,,0.034356915
scp43.txt,12,571,0.034244097,8,,0.034244097
scp43.txt,13,571,0.03411369,8,,0.03411369
scp43.txt,14,576,0.034046681,8,,0.034046681
scp43.txt,15,583,0.034149724,8,,0.034149724
scp43.txt,16,581,0.034244614,8,,0.034244614
scp43.txt,17,587,0.034144178,8,,0.034144178
scp43.txt,18,592,0.034079473,8,,0.034079473
scp43.txt,19,613,0.033997825,8,,0.033997825
scp43.txt,20,601,0.033943489,8,,0.033943489
scp43.txt,5,554,0.048620296,9,,0.048620296
scp43.txt,6,556,0.034402022,9,,0.034402022
scp43.txt,7,564,0.034071397,9,,0.034071397
scp43.txt,8,561,0.03387573,9,,0.03387573
scp43.txt,9,569,0.033831327,9,,0.033831327
scp43.txt,10,565,0.033795042,9,,0.033795042
scp43.txt,11,571,0.03366095,9,,0.03366095
scp43.txt,12,572,0.033559414,9,,0.033559414
scp43.txt,13,576,0.033442047,9,,0.033442047
scp43.txt,14,575,0.033381739,9,,0.033381739
scp43.txt,15,579,0.033474477,9,,0.033474477
scp43.txt,16,585,0.033559879,9,,0.033559879
scp43.txt,17,592,0.033469486,9,,0.033469486
scp43.txt,18,602,0.033411251,9,,0.033411251
scp43.txt,19,596,0.033337768,9,,0.033337768
scp43.txt,20,608,0.033288866,9,,0.033288866
scp43.txt,5,560,0.048096373,10,,0.048096373
scp43.txt,6,558,0.033765225,10,,0.033765225
scp43.txt,7,561,0.033464658,10,,0.033464658
scp43.txt,8,561,0.033286778,10,,0.033286778
scp43.txt,9,569,0.033246412,10,,0.033246412
scp43.txt,10,566,0.033213426,10,,0.033213426
scp43.txt,11,570,0.033091524,10,,0.033091524
scp43.txt,12,571,0.032999218,10,,0.032999218
scp43.txt,13,577,0.032892521,10,,0.032892521
scp43.txt,14,578,0.032837695,10,,0.032837695
scp43.txt,15,584,0.032922003,10,,0.032922003
scp43.txt,16,584,0.032999641,10,,0.032999641
scp43.txt,17,590,0.032917466,10,,0.032917466
scp43.txt,18,589,0.032864525,10,,0.032864525
scp43.txt,19,600,0.032797722,10,,0.032797722
scp43.txt,20,605,0.032753265,10,,0.032753265
scp51.txt,5,772,0.070810975,0.1,,0.070810975
scp51.txt,6,766,0.069987365,0.1,,0.069987365
scp51.txt,7,775,0.07539224,0.1,,0.07539224
scp51.txt,8,773,0.078279112,0.1,,0.078279112
scp51.txt,9,774,0.076457439,0.1,,0.076457439
scp51.txt,10,775,0.075252955,0.1,,0.075252955
scp51.txt,11,794,0.078418844,0.1,,0.078418844
scp51.txt,12,792,0.080081009,0.1,,0.080081009
scp51.txt,13,805,0.082647371,0.1,,0.082647371
scp51.txt,14,800,0.083934416,0.1,,0.083934416
scp51.txt,15,796,0.082705409,0.1,,0.082705409
scp51.txt,16,806,0.081316516,0.1,,0.081316516
scp51.txt,17,807,0.080340801,0.1,,0.080340801
scp51.txt,18,813,0.07923264,0.1,,0.07923264
scp51.txt,19,822,0.080941199,0.1,,0.080941199
scp51.txt,20,854,0.080981854,0.1,,0.080981854
scp51.txt,5,774,0.067132283,0.2,,0.067132283
scp51.txt,6,782,0.066377307,0.2,,0.066377307
scp51.txt,7,780,0.071331776,0.2,,0.071331776
scp51.txt,8,791,0.073978075,0.2,,0.073978075
scp51.txt,9,786,0.072308208,0.2,,0.072308208
scp51.txt,10,782,0.071204098,0.2,,0.071204098
scp51.txt,11,796,0.074106162,0.2,,0.074106162
scp51.txt,12,791,0.075629814,0.2,,0.075629814
scp51.txt,13,789,0.077982312,0.2,,0.077982312
scp51.txt,14,797,0.079162104,0.2,,0.079162104
scp51.txt,15,793,0.078035514,0.2,,0.078035514
scp51.txt,16,797,0.076762362,0.2,,0.076762362
scp51.txt,17,803,0.075867957,0.2,,0.075867957
scp51.txt,18,818,0.074852142,0.2,,0.074852142
scp51.txt,19,817,0.076418322,0.2,,0.076418322
scp51.txt,20,827,0.076455588,0.2,,0.076455588
scp51.txt,5,780,0.064019543,0.3,,0.064019543
scp51.txt,6,773,0.063322642,0.3,,0.063322642
scp51.txt,7,772,0.067895998,0.3,,0.067895998
scp51.txt,8,777,0.070338736,0.3,,0.070338736
scp51.txt,9,777,0.068797321,0.3,,0.068797321
scp51.txt,10,778,0.067778142,0.3,,0.067778142
scp51.txt,11,790,0.07045697,0.3,,0.07045697
scp51.txt,12,790,0.071863418,0.3,,0.071863418
scp51.txt,13,793,0.074034955,0.3,,0.074034955
scp51.txt,14,794,0.075123993,0.3,,0.075123993
scp51.txt,15,791,0.074084064,0.3,,0.074084064
scp51.txt,16,800,0.072908847,0.3,,0.072908847
scp51.txt,17,801,0.072083242,0.3,,0.072083242
scp51.txt,18,813,0.071145567,0.3,,0.071145567
scp51.txt,19,819,0.072591271,0.3,,0.072591271
scp51.txt,20,822,0.072625671,0.3,,0.072625671
scp51.txt,5,776,0.061351481,0.4,,0.061351481
scp51.txt,6,777,0.060704358,0.4,,0.060704358
scp51.txt,7,771,0.064951046,0.4,,0.064951046
scp51.txt,8,782,0.067219302,0.4,,0.067219302
scp51.txt,9,785,0.065787988,0.4,,0.065787988
scp51.txt,10,779,0.064841608,0.4,,0.064841608
scp51.txt,11,786,0.067329092,0.4,,0.067329092
scp51.txt,12,786,0.068635079,0.4,,0.068635079
scp51.txt,13,795,0.070651506,0.4,,0.070651506
scp51.txt,14,794,0.071662756,0.4,,0.071662756
scp51.txt,15,797,0.070697107,0.4,,0.070697107
scp51.txt,16,798,0.069605834,0.4,,0.069605834
scp51.txt,17,806,0.068839201,0.4,,0.068839201
scp51.txt,18,812,0.067968503,0.4,,0.067968503
scp51.txt,19,818,0.069310942,0.4,,0.069310942
scp51.txt,20,820,0.069342885,0.4,,0.069342885
scp51.txt,5,790,0.05903916,0.5,,0.05903916
scp51.txt,6,783,0.058435179,0.5,,0.058435179
scp51.txt,7,778,0.062398754,0.5,,0.062398754
scp51.txt,8,773,0.064515793,0.5,,0.064515793
scp51.txt,9,778,0.0631799,0.5,,0.0631799
scp51.txt,10,778,0.062296612,0.5,,0.062296612
scp51.txt,11,781,0.064618263,0.5,,0.064618263
scp51.txt,12,783,0.065837185,0.5,,0.065837185
scp51.txt,13,787,0.067719183,0.5,,0.067719183
scp51.txt,14,803,0.068663016,0.5,,0.068663016
scp51.txt,15,811,0.067761744,0.5,,0.067761744
scp51.txt,16,818,0.066743223,0.5,,0.066743223
scp51.txt,17,808,0.066027699,0.5,,0.066027699
scp51.txt,18,863,0.065215047,0.5,,0.065215047
scp51.txt,19,823,0.066467991,0.5,,0.066467991
scp51.txt,20,834,0.066497804,0.5,,0.066497804
scp51.txt,5,767,0.057015879,0.6,,0.057015879
scp51.txt,6,775,0.056449647,0.6,,0.056449647
scp51.txt,7,790,0.060165499,0.6,,0.060165499
scp51.txt,8,812,0.062150223,0.6,,0.062150223
scp51.txt,9,780,0.060897823,0.6,,0.060897823
scp51.txt,10,787,0.06006974,0.6,,0.06006974
scp51.txt,11,783,0.062246288,0.6,,0.062246288
scp51.txt,12,782,0.063389027,0.6,,0.063389027
scp51.txt,13,792,0.065153401,0.6,,0.065153401
scp51.txt,14,809,0.066038245,0.6,,0.066038245
scp51.txt,15,799,0.065193302,0.6,,0.065193302
scp51.txt,16,803,0.064238438,0.6,,0.064238438
scp51.txt,17,815,0.063567634,0.6,,0.063567634
scp51.txt,18,818,0.062805774,0.6,,0.062805774
scp51.txt,19,818,0.063980408,0.6,,0.063980408
scp51.txt,20,830,0.064008358,0.6,,0.064008358
scp51.txt,5,775,0.055230631,0.7,,0.055230631
scp51.txt,6,776,0.054697707,0.7,,0.054697707
scp51.txt,7,781,0.058194979,0.7,,0.058194979
scp51.txt,8,788,0.060062955,0.7,,0.060062955
scp51.txt,9,791,0.058884226,0.7,,0.058884226
scp51.txt,10,783,0.058104854,0.7,,0.058104854
scp51.txt,11,783,0.060153369,0.7,,0.060153369
scp51.txt,12,791,0.061228888,0.7,,0.061228888
scp51.txt,13,798,0.062889475,0.7,,0.062889475
scp51.txt,14,796,0.063722269,0.7,,0.063722269
scp51.txt,15,797,0.062927029,0.7,,0.062927029
scp51.txt,16,805,0.062028334,0.7,,0.062028334
scp51.txt,17,807,0.061396989,0.7,,0.061396989
scp51.txt,18,816,0.060679944,0.7,,0.060679944
scp51.txt,19,822,0.061785482,0.7,,0.061785482
scp51.txt,20,822,0.061811788,0.7,,0.061811788
scp51.txt,5,772,0.053643744,0.8,,0.053643744
scp51.txt,6,770,0.053140427,0.8,,0.053140427
scp51.txt,7,778,0.056443406,0.8,,0.056443406
scp51.txt,8,783,0.058207606,0.8,,0.058207606
