Dataset, K, Total time, Diversity, Alpha,,
scp41.txt,6,568,0.054946457,0.8,,0.054946457
scp41.txt,7,567,0.059778141,0.8,,0.059778141
scp41.txt,8,570,0.061937465,0.8,,0.061937465
scp41.txt,9,569,0.062635633,0.8,,0.062635633
scp41.txt,10,575,0.062723821,0.8,,0.062723821
scp41.txt,11,581,0.061304086,0.8,,0.061304086
scp41.txt,12,592,0.060108772,0.8,,0.060108772
scp41.txt,13,582,0.059030717,0.8,,0.059030717
scp41.txt,14,635,0.058106807,0.8,,0.058106807
scp41.txt,15,618,0.057266672,0.8,,0.057266672
scp41.txt,16,604,0.056534945,0.8,,0.056534945
scp41.txt,17,601,0.056718956,0.8,,0.056718956
scp41.txt,18,602,0.056789374,0.8,,0.056789374
scp41.txt,19,612,0.058220084,0.8,,0.058220084
scp41.txt,20,614,0.059295097,0.8,,0.059295097
scp41.txt,5,567,0.049295672,0.9,,0.049295672
scp41.txt,6,570,0.05343958,0.9,,0.05343958
scp41.txt,7,563,0.058016964,0.9,,0.058016964
scp41.txt,8,567,0.06006264,0.9,,0.06006264
scp41.txt,9,575,0.060724062,0.9,,0.060724062
scp41.txt,10,571,0.060807608,0.9,,0.060807608
scp41.txt,11,579,0.059462597,0.9,,0.059462597
scp41.txt,12,571,0.058330194,0.9,,0.058330194
scp41.txt,13,586,0.057308879,0.9,,0.057308879
scp41.txt,14,585,0.056433596,0.9,,0.056433596
scp41.txt,15,585,0.055637679,0.9,,0.055637679
scp41.txt,16,587,0.054944463,0.9,,0.054944463
scp41.txt,17,597,0.055118789,0.9,,0.055118789
scp41.txt,18,611,0.055185501,0.9,,0.055185501
scp41.txt,19,607,0.05654091,0.9,,0.05654091
scp41.txt,20,614,0.057559344,0.9,,0.057559344
scp41.txt,5,580,0.048146678,1,,0.048146678
scp41.txt,6,559,0.05208339,1,,0.05208339
scp41.txt,7,576,0.056431906,1,,0.056431906
scp41.txt,8,571,0.058375297,1,,0.058375297
scp41.txt,9,580,0.059003649,1,,0.059003649
scp41.txt,10,567,0.059083017,1,,0.059083017
scp41.txt,11,580,0.057805256,1,,0.057805256
scp41.txt,12,576,0.056729474,1,,0.056729474
scp41.txt,13,586,0.055759225,1,,0.055759225
scp41.txt,14,601,0.054927705,1,,0.054927705
scp41.txt,15,594,0.054171584,1,,0.054171584
scp41.txt,16,596,0.053513029,1,,0.053513029
scp41.txt,17,594,0.053678639,1,,0.053678639
scp41.txt,18,599,0.053742016,1,,0.053742016
scp41.txt,19,614,0.055029654,1,,0.055029654
scp41.txt,20,635,0.055997166,1,,0.055997166
scp41.txt,5,565,0.040869715,2,,0.040869715
scp41.txt,6,568,0.04349419,2,,0.04349419
scp41.txt,7,565,0.0463932,2,,0.0463932
scp41.txt,8,568,0.047688795,2,,0.047688795
scp41.txt,9,564,0.048107696,2,,0.048107696
scp41.txt,10,568,0.048160608,2,,0.048160608
scp41.txt,11,584,0.047308767,2,,0.047308767
scp41.txt,12,582,0.046591579,2,,0.046591579
scp41.txt,13,581,0.045944746,2,,0.045944746
scp41.txt,14,589,0.0453904,2,,0.0453904
scp41.txt,15,587,0.044886319,2,,0.044886319
scp41.txt,16,594,0.044447283,2,,0.044447283
scp41.txt,17,620,0.044557689,2,,0.044557689
scp41.txt,18,603,0.04459994,2,,0.04459994
scp41.txt,19,612,0.045458366,2,,0.045458366
scp41.txt,20,614,0.046103374,2,,0.046103374
scp41.txt,5,566,0.037231234,3,,0.037231234
scp41.txt,6,561,0.03919959,3,,0.03919959
scp41.txt,7,563,0.041373848,3,,0.041373848
scp41.txt,8,567,0.042345543,3,,0.042345543
scp41.txt,9,574,0.042659719,3,,0.042659719
scp41.txt,10,570,0.042699403,3,,0.042699403
scp41.txt,11,569,0.042060523,3,,0.042060523
scp41.txt,12,586,0.041522632,3,,0.041522632
scp41.txt,13,576,0.041037507,3,,0.041037507
scp41.txt,14,579,0.040621747,3,,0.040621747
scp41.txt,15,585,0.040243687,3,,0.040243687
scp41.txt,16,594,0.039914409,3,,0.039914409
scp41.txt,17,592,0.039997214,3,,0.039997214
scp41.txt,18,598,0.040028903,3,,0.040028903
scp41.txt,19,602,0.040672722,3,,0.040672722
scp41.txt,20,618,0.041156478,3,,0.041156478
scp41.txt,5,570,0.035048145,4,,0.035048145
scp41.txt,6,567,0.03662283,4,,0.03662283
scp41.txt,7,567,0.038362236,4,,0.038362236
scp41.txt,8,579,0.039139593,4,,0.039139593
scp41.txt,9,568,0.039390933,4,,0.039390933
scp41.txt,10,567,0.039422681,4,,0.039422681
scp41.txt,11,574,0.038911576,4,,0.038911576
scp41.txt,12,583,0.038481263,4,,0.038481263
scp41.txt,13,583,0.038093163,4,,0.038093163
scp41.txt,14,581,0.037760556,4,,0.037760556
scp41.txt,15,586,0.037458107,4,,0.037458107
scp41.txt,16,598,0.037194685,4,,0.037194685
scp41.txt,17,589,0.037260929,4,,0.037260929
scp41.txt,18,597,0.03728628,4,,0.03728628
scp41.txt,19,614,0.037801335,4,,0.037801335
scp41.txt,20,617,0.03818834,4,,0.03818834
scp41.txt,5,562,0.033592752,5,,0.033592752
scp41.txt,6,563,0.03490499,5,,0.03490499
scp41.txt,7,562,0.036354495,5,,0.036354495
scp41.txt,8,568,0.037002292,5,,0.037002292
scp41.txt,9,574,0.037211743,5,,0.037211743
scp41.txt,10,580,0.037238199,5,,0.037238199
scp41.txt,11,571,0.036812278,5,,0.036812278
scp41.txt,12,590,0.036453684,5,,0.036453684
scp41.txt,13,587,0.036130268,5,,0.036130268
scp41.txt,14,607,0.035853095,5,,0.035853095
scp41.txt,15,589,0.035601054,5,,0.035601054
scp41.txt,16,586,0.035381536,5,,0.035381536
scp41.txt,17,595,0.035436739,5,,0.035436739
scp41.txt,18,594,0.035457865,5,,0.035457865
scp41.txt,19,612,0.035887078,5,,0.035887078
scp41.txt,20,613,0.036209582,5,,0.036209582
