Test Name, K, Total time, Diversity, Min Diversity, Average Diversity, Max Diversity
scp41.txt, 3, 275, 0.04017937617937618, 0.014035087719298244, 0.06391518203864825, 0.20369464780153948
scp41.txt, 4, 172, 0.03994545805072121, 0.012444444444444445, 0.05724856306653191, 0.15803182546446295
scp41.txt, 5, 181, 0.04378050020155284, 0.011733333333333333, 0.05400107612487967, 0.1438419139599464
scp41.txt, 6, 174, 0.046929870129870134, 0.012744588744588744, 0.05187513913694676, 0.13326479604390626
scp41.txt, 7, 187, 0.0504086823786072, 0.014320878639142656, 0.05035801362558669, 0.12709457692394993
scp42.txt, 3, 97, 0.03584544302854162, 0.015023474178403756, 0.06357256664744232, 0.20406878977030382
scp42.txt, 4, 96, 0.03764438482748342, 0.013145539906103287, 0.05790415344736187, 0.19236026509566523
scp42.txt, 5, 94, 0.037285043594902756, 0.014045383411580594, 0.05514303403972623, 0.17047529765929187
scp42.txt, 6, 104, 0.03739265220955362, 0.014095238095238096, 0.053352313500027074, 0.1390171928497417
scp42.txt, 7, 121, 0.037138918165075106, 0.014372478255778056, 0.05209992295542351, 0.13846851988047124
scp43.txt, 3, 155, 0.08667724867724867, 0.019047619047619046, 0.0619028763076406, 0.19701280227596016
scp43.txt, 4, 107, 0.0754247182603347, 0.018095238095238095, 0.054979206445952306, 0.15832021495179388
scp43.txt, 5, 99, 0.06590975593989293, 0.01715372907153729, 0.051694487544908165, 0.13404723730837648
scp43.txt, 6, 110, 0.05541630632589536, 0.016887671232876714, 0.049596227257023735, 0.12808871538063532
scp43.txt, 7, 117, 0.05409380809380809, 0.017015003261578603, 0.04811828019204222, 0.12286771659148676
scp51.txt, 3, 185, 0.055244264507422404, 0.014222222222222223, 0.05805196973804333, 0.17523003312476998
scp51.txt, 4, 186, 0.05517591180749075, 0.013333333333333332, 0.051340305598376025, 0.1445362824310193
scp51.txt, 5, 208, 0.04609016246910984, 0.0144, 0.04812300912511249, 0.12460015773699984
scp51.txt, 6, 174, 0.04572777398040556, 0.014933333333333335, 0.04605941060392282, 0.1182606633132949
scp51.txt, 7, 246, 0.04810591914351313, 0.01523809523809524, 0.044604332863843056, 0.11565697126599381
scp52.txt, 3, 228, 0.07834119834119833, 0.015458937198067632, 0.06120771897782955, 0.18001906015604646
scp52.txt, 4, 220, 0.07834119834119833, 0.013526570048309181, 0.0549982010650514, 0.15062410485235106
scp52.txt, 5, 220, 0.08060932676060728, 0.0127536231884058, 0.05204404584362672, 0.13729814793156486
scp52.txt, 6, 308, 0.08147595634433039, 0.012367149758454108, 0.05017338182754849, 0.1284351115633653
scp52.txt, 7, 218, 0.06267255160984422, 0.012422360248447204, 0.048880693814148286, 0.11771121721191406
scp53.txt, 3, 164, 0.07358178053830226, 0.01616161616161616, 0.060817698661396385, 0.17936507936507937
scp53.txt, 4, 182, 0.07375627782277398, 0.01414141414141414, 0.05576477426336501, 0.16889014367275237
scp53.txt, 5, 167, 0.06224510868500638, 0.013333333333333336, 0.053344289940247744, 0.15416710825406477
scp53.txt, 6, 290, 0.06184879286669569, 0.01292929292929293, 0.05176304412724457, 0.14744847423108293
scp53.txt, 7, 199, 0.06232654448218935, 0.012987012987012988, 0.05062224538521544, 0.13451494685387336
